cp_id,reserve,amount,old_payment_date,new_payment_date,old_payment_method,new_payment_method,old_payment_key,new_payment_key,old_source,new_source,clear_payment_client,reason
8403,007826,250.0,2025-07-24,2013-04-18,bank_transfer,unknown,0007909,0007895,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8405,007750,256.25,2025-07-24,2013-04-05,bank_transfer,unknown,0007849,0007833,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8406,007827,564.3,2025-07-24,2013-04-18,bank_transfer,unknown,0007910,0007896,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8407,007771,300.0,2025-07-24,2013-04-13,bank_transfer,unknown,0007884,0007867,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8408,007875,231.0,2025-07-24,2013-05-02,bank_transfer,unknown,0008046,0007948,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8409,007831,500.0,2025-07-24,2013-04-19,bank_transfer,unknown,0007914,0007900,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8410,007872,274.5,2025-07-24,2013-05-01,bank_transfer,unknown,0008046,0007947,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8411,007646,202.0,2025-07-24,2013-04-19,bank_transfer,unknown,0007915,0007901,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8412,007740,241.0,2025-07-24,2013-04-19,bank_transfer,unknown,0007913,0007899,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8413,007857,85.0,2025-07-24,2013-05-02,bank_transfer,unknown,0008046,0007949,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8415,007695,745.0,2025-07-24,2013-04-15,bank_transfer,unknown,0007892,0007875,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8416,007841,2000.0,2025-07-24,2013-04-21,bank_transfer,unknown,0007921,0007905,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8417,007667,157.5,2025-07-24,2013-04-25,bank_transfer,unknown,0007919,0007903,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8418,007841,729.5,2025-07-24,2013-04-21,bank_transfer,unknown,0007922,0007906,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8419,007834,334.5,2025-07-24,2013-04-22,bank_transfer,unknown,0007925,0007909,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8420,007772,1214.11,2025-07-24,2013-04-22,bank_transfer,unknown,0007926,0007910,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8421,007801,1486.0,2025-07-24,2013-04-22,bank_transfer,unknown,0007923,0007907,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8422,007236,2439.5,2025-07-24,2012-12-17,bank_transfer,unknown,0007539,0007240,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8423,007634,366.0,2025-07-24,2013-04-22,bank_transfer,unknown,0007927,0007911,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8424,007354,154.0,2025-07-24,2013-04-19,bank_transfer,unknown,0007918,0007902,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8425,007859,175.0,2025-07-24,2013-04-24,bank_transfer,unknown,0007936,0007920,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8426,007657,231.0,2025-07-24,2013-03-11,bank_transfer,unknown,0008020,0007726,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8427,007650,231.0,2025-07-24,2013-03-11,bank_transfer,unknown,0008020,0007725,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8428,007847,449.0,2025-07-24,2013-04-22,bank_transfer,unknown,0007924,0007908,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8429,007647,423.5,2025-07-24,2013-04-19,bank_transfer,unknown,0007916,0007901,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8430,007659,500.0,2025-07-24,2013-03-11,bank_transfer,unknown,0008020,0007724,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8431,007820,731.0,2025-07-24,2013-04-25,bank_transfer,unknown,0007937,0007921,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8432,006704,222.5,2025-07-24,2012-09-07,bank_transfer,unknown,0007396,0006580,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8433,007848,242.56,2025-07-24,2013-04-24,bank_transfer,unknown,0007935,0007919,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8434,007734,254.1,2025-07-24,2013-04-02,bank_transfer,unknown,0007840,0007825,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8435,007856,205.0,2025-07-24,2013-04-23,bank_transfer,unknown,0007934,0007918,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8436,007760,500.0,2025-07-24,2013-04-09,bank_transfer,unknown,0007856,0007840,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8437,007862,350.0,2025-07-24,2013-04-26,bank_transfer,unknown,0007941,0007925,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8438,007648,423.5,2025-07-24,2013-04-19,bank_transfer,unknown,0007917,0007901,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8439,007839,350.0,2025-07-24,2013-04-23,bank_transfer,unknown,0007931,0007915,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8440,005923,261.0,2025-07-24,2013-02-28,bank_transfer,unknown,0007762,0007640,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8441,007854,0.01,2025-07-24,2013-04-23,bank_transfer,unknown,0007932,0007916,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
8442,007855,175.0,2025-07-24,2013-04-23,bank_transfer,unknown,0007933,0007917,charter_reconciliation_report,lms_relink_batch4_same_reserve_unique_20260410,True,SAME_RESERVE_UNIQUE_AMOUNT_OCCURRENCE
