cp_id,reserve,amount,payment_date,payment_key,category,key_target_info,amount_matches_on_current_reserve
12164,010399,250.0,2025-07-24,0011215,KEY_SINGLE_OTHER,010910,2
12191,011087,105.0,2025-07-24,0011329,KEY_SINGLE_OTHER,011049,2
12263,011251,300.0,2025-07-24,0011553,KEY_SINGLE_OTHER,011268,2
12356,015275,262.5,2025-07-24,0017187,KEY_MULTI_EXCLUDES_SAME,011353|011356|011357|011358|011360|011364|011374|011375,2
12439,011087,105.0,2025-07-24,0011678,KEY_SINGLE_OTHER,011123,2
12528,011121,100.0,2025-07-24,0011777,KEY_SINGLE_OTHER,011401,3
12539,011121,100.0,2025-07-24,0011768,KEY_SINGLE_OTHER,011458,3
12557,011121,100.0,2025-07-24,0011778,KEY_MULTI_EXCLUDES_SAME,011471|011472,3
12803,011251,300.0,2025-07-24,0011994,KEY_SINGLE_OTHER,011521,2
13549,012140,75.0,2025-07-24,0012814,KEY_MULTI_EXCLUDES_SAME,012292|012293|012294|012295|012296|012297|012298|012299,2
13561,012144,75.0,2025-07-24,0012814,KEY_MULTI_EXCLUDES_SAME,012292|012293|012294|012295|012296|012297|012298|012299,2
13593,012267,127.2,2025-07-24,0012814,KEY_MULTI_EXCLUDES_SAME,012292|012293|012294|012295|012296|012297|012298|012299,2
13638,012304,205.0,2025-07-24,0012802,KEY_SINGLE_OTHER,012194,2
13691,012144,75.0,2025-07-24,0012901,KEY_SINGLE_OTHER,012356,2
13718,012140,75.0,2025-07-24,0012897,KEY_SINGLE_OTHER,012451,2
13826,012228,250.0,2025-07-24,0012982,KEY_MULTI_EXCLUDES_SAME,012525|012526,2
13891,012228,250.0,2025-07-24,0013028,KEY_SINGLE_OTHER,012461,2
13898,012267,127.2,2025-07-24,0013027,KEY_SINGLE_OTHER,012566,2
14660,012304,205.0,2025-07-24,0013818,KEY_SINGLE_OTHER,013078,2
15117,013171,250.0,2025-07-24,0014275,KEY_SINGLE_OTHER,013419,2
15250,013204,300.0,2025-07-24,0014331,KEY_SINGLE_OTHER,013466,2
15283,013222,750.0,2025-07-24,0014351,KEY_SINGLE_OTHER,013479,2
15298,013204,300.0,2025-07-24,0014345,KEY_SINGLE_OTHER,013470,2
15318,013171,250.0,2025-07-24,0014255,KEY_SINGLE_OTHER,013379,2
15486,013354,75.2,2025-07-24,0014582,KEY_SINGLE_OTHER,013631,4
15494,013357,600.0,2025-07-24,0014568,KEY_SINGLE_OTHER,013545,2
15507,013354,75.2,2025-07-24,0014581,KEY_SINGLE_OTHER,013672,4
15513,013354,75.2,2025-07-24,0014580,KEY_MULTI_EXCLUDES_SAME,013636|013637|013638|013639|013650|013651|013652|013653,4
15527,013354,75.2,2025-07-24,0014583,KEY_SINGLE_OTHER,013676,4
15553,013357,600.0,2025-07-24,0014562,KEY_SINGLE_OTHER,013629,2
15659,013545,805.0,2025-07-24,0014738,KEY_SINGLE_OTHER,013792,2
15697,013446,245.0,2025-07-24,0014784,KEY_SINGLE_OTHER,013667,2
15700,013446,245.0,2025-07-24,0014762,KEY_SINGLE_OTHER,013771,2
15752,013536,774.0,2025-07-24,0014732,KEY_SINGLE_OTHER,013783,2
15816,013536,774.0,2025-07-24,0014734,KEY_SINGLE_OTHER,013786,2
15839,013545,805.0,2025-07-24,0014890,KEY_SINGLE_OTHER,013916,2
15921,013729,500.0,2025-07-24,0015005,KEY_SINGLE_OTHER,013953,2
15961,013690,1240.0,2025-07-24,0015023,KEY_SINGLE_OTHER,013910,2
15970,013729,500.0,2025-07-24,0015018,KEY_SINGLE_OTHER,013982,2
16023,013222,750.0,2025-07-24,0014860,KEY_SINGLE_OTHER,013891,2
16207,013690,1240.0,2025-07-24,0015236,KEY_MULTI_EXCLUDES_SAME,014131|014132,2
16256,013881,200.0,2025-07-24,0015205,KEY_MULTI_EXCLUDES_SAME,014101|014103,2
16424,013881,200.0,2025-07-24,0015211,KEY_MULTI_EXCLUDES_SAME,014100|014102,2
16485,014467,324.0,2025-07-24,0016155,KEY_SINGLE_OTHER,014309,2
16490,014468,162.0,2025-07-24,0016156,KEY_SINGLE_OTHER,014305,2
16513,013369,360.0,2025-07-24,0015532,KEY_MULTI_EXCLUDES_SAME,013573|014289,2
16533,013369,360.0,2025-07-24,0015530,KEY_SINGLE_OTHER,014329,2
16591,014469,162.0,2025-07-24,0016157,KEY_SINGLE_OTHER,014373,2
16643,014163,250.0,2025-07-24,0015648,KEY_SINGLE_OTHER,014433,2
16645,014163,250.0,2025-07-24,0015656,KEY_SINGLE_OTHER,013979,2
16746,014211,157.5,2025-07-24,0015749,KEY_SINGLE_OTHER,014516,2
16754,014212,157.5,2025-07-24,0015748,KEY_SINGLE_OTHER,014515,2
16768,014228,765.0,2025-07-24,0015772,KEY_SINGLE_OTHER,014496,2
16791,014212,157.5,2025-07-24,0015869,KEY_SINGLE_OTHER,014614,2
16817,014228,765.0,2025-07-24,0015834,KEY_SINGLE_OTHER,014590,2
16861,014211,157.5,2025-07-24,0015870,KEY_SINGLE_OTHER,014615,2
16930,014289,225.0,2025-07-24,0015946,KEY_SINGLE_OTHER,014663,2
16937,014289,225.0,2025-07-24,0015922,KEY_SINGLE_OTHER,014661,2
16945,014335,250.0,2025-07-24,0015956,KEY_SINGLE_OTHER,014684,2
17098,014335,250.0,2025-07-24,0016090,KEY_SINGLE_OTHER,014757,2
17175,014469,162.0,2025-07-24,0016151,KEY_MULTI_EXCLUDES_SAME,014807|014808,2
17181,014468,162.0,2025-07-24,0016151,KEY_MULTI_EXCLUDES_SAME,014807|014808,2
17198,014467,324.0,2025-07-24,0016150,KEY_SINGLE_OTHER,014809,2
17428,014415,1200.0,2025-07-24,0016086,KEY_SINGLE_OTHER,014767,0
17488,014676,930.0,2025-07-24,0016402,KEY_SINGLE_OTHER,015019,2
17500,014676,930.0,2025-07-24,0016394,KEY_SINGLE_OTHER,015013,2
17553,014466,220.0,2025-07-24,0016504,KEY_SINGLE_OTHER,015083,2
17557,014466,220.0,2025-07-24,0016498,KEY_MULTI_EXCLUDES_SAME,015072|015073,2
17613,014827,815.0,2025-07-24,0016596,KEY_SINGLE_OTHER,015097,2
17634,014827,815.0,2025-07-24,0016615,KEY_SINGLE_OTHER,015164,2
17707,014876,221.0,2025-07-24,0016639,KEY_SINGLE_OTHER,015202,0
17956,015005,300.0,2025-07-24,0016876,KEY_SINGLE_OTHER,015388,2
17965,015005,300.0,2025-07-24,0016868,KEY_SINGLE_OTHER,015403,2
18017,015201,180.0,2025-07-24,0016705,KEY_SINGLE_OTHER,015274,0
18176,015146,805.0,2025-07-24,0017081,KEY_SINGLE_OTHER,015503,2
18177,015146,805.0,2025-07-24,0017082,KEY_SINGLE_OTHER,015503,2
18523,015712,300.0,2025-07-24,0017799,KEY_SINGLE_OTHER,016115,2
18675,015557,388.8,2025-07-24,0017581,KEY_SINGLE_OTHER,015988,2
18693,015557,388.8,2025-07-24,0017598,KEY_SINGLE_OTHER,015915,2
18884,015712,300.0,2025-07-24,0017781,KEY_SINGLE_OTHER,016103,2
19038,015847,500.0,2025-07-24,0017917,KEY_SINGLE_OTHER,016211,2
19039,015847,500.0,2025-07-24,0017918,KEY_SINGLE_OTHER,016221,2
19174,015860,500.0,2025-07-24,0017936,KEY_SINGLE_OTHER,016239,2
19259,015922,90.0,2025-07-24,0018098,KEY_SINGLE_OTHER,016333,2
19266,015922,90.0,2025-07-24,0018094,KEY_SINGLE_OTHER,016351,2
19284,015860,500.0,2025-07-24,0018101,KEY_SINGLE_OTHER,016358,2
19308,016042,234.0,2025-07-24,0018161,KEY_SINGLE_OTHER,016409,2
19314,016042,234.0,2025-07-24,0018163,KEY_MULTI_EXCLUDES_SAME,016404|016405,2
19540,016107,250.0,2025-07-24,0018275,KEY_SINGLE_OTHER,016498,2
19686,016312,180.0,2025-07-24,0018569,KEY_MULTI_EXCLUDES_SAME,016703|016731,0
19898,016468,250.0,2025-07-24,0018787,KEY_SINGLE_OTHER,016869,2
19921,016468,250.0,2025-07-24,0018784,KEY_SINGLE_OTHER,016391,2
19950,016502,200.0,2025-07-24,0018818,KEY_SINGLE_OTHER,016829,0
20102,016107,250.0,2025-07-24,0018276,KEY_NOT_IN_LMS,,2
20266,016546,300.0,2025-07-24,0018855,KEY_SINGLE_OTHER,016917,2
20657,016980,162.0,2025-07-24,0019372,KEY_SINGLE_OTHER,017284,2
20670,016980,162.0,2025-07-24,0019344,KEY_SINGLE_OTHER,017267,2
20753,017056,1000.0,2025-07-24,0019505,KEY_SINGLE_OTHER,017343,2
20816,017056,1000.0,2025-07-24,0019543,KEY_SINGLE_OTHER,017422,2
20923,017108,200.0,2025-07-24,0019582,KEY_MULTI_EXCLUDES_SAME,017444|017445,2
21067,017140,0.0,2025-07-24,0019632,KEY_SINGLE_OTHER,017502,2
21169,016546,300.0,2025-07-24,0019891,KEY_SINGLE_OTHER,017406,2
21205,017400,300.0,2025-07-24,0019929,KEY_MULTI_EXCLUDES_SAME,017695|017696|017697|017698,2
21217,017400,300.0,2025-07-24,0019962,KEY_SINGLE_OTHER,017730,2
21362,016843,160.0,2025-07-24,0019230,KEY_SINGLE_OTHER,017187,1
21617,017657,210.0,2025-07-24,0020270,KEY_MULTI_EXCLUDES_SAME,017746|017747,2
21835,017140,0.0,2025-07-24,0020381,KEY_MULTI_EXCLUDES_SAME,017957|017958,2
21937,017764,200.0,2025-07-24,0020520,KEY_SINGLE_OTHER,018127,2
21965,017764,250.0,2025-07-24,0020522,KEY_SINGLE_OTHER,018074,2
22045,017764,250.0,2025-07-24,0020521,KEY_SINGLE_OTHER,017504,2
22050,017764,200.0,2025-07-24,0020519,KEY_SINGLE_OTHER,018124,2
22244,017108,200.0,2025-07-24,0019603,KEY_MULTI_EXCLUDES_SAME,017466|017467,2
22328,017932,500.0,2025-07-24,0020829,KEY_SINGLE_OTHER,018310,2
22412,017943,830.25,2025-07-24,0020851,KEY_MULTI_EXCLUDES_SAME,018331|018332|018333|018334|018335|018336|018337|018338,0
22615,018137,135.0,2025-07-24,0021123,KEY_SINGLE_OTHER,018407,2
22686,018175,450.0,2025-07-24,0021164,KEY_SINGLE_OTHER,018663,2
22736,018137,135.0,2025-07-24,0021198,KEY_SINGLE_OTHER,018667,2
22825,018175,450.0,2025-07-24,0021220,KEY_SINGLE_OTHER,018712,2
22856,018199,1000.0,2025-07-24,0021289,KEY_SINGLE_OTHER,018045,2
22871,018257,500.0,2025-07-24,0021290,KEY_MULTI_EXCLUDES_SAME,018596|018597|018754,2
22883,018199,1000.0,2025-07-24,0021300,KEY_SINGLE_OTHER,018764,2
23068,018349,500.0,2025-07-24,0021436,KEY_SINGLE_OTHER,018756,1
23490,018680,500.0,2025-07-24,0021765,KEY_SINGLE_OTHER,019060,1
24112,019538,369.0,2025-07-24,0022353,KEY_NOT_IN_LMS,,0
