            from_table            |        from_col         |           to_table           |      to_col       |                       constraint_name                       
 cibc_auto_categorization_rules   | card_id                 | cibc_business_cards          | card_id           | cibc_auto_categorization_rules_card_id_fkey
 cibc_business_cards              | owner_equity_account_id | owner_equity_accounts        | equity_account_id | cibc_business_cards_owner_equity_account_id_fkey
 cibc_card_transactions           | banking_transaction_id  | banking_transactions         | transaction_id    | cibc_card_transactions_banking_transaction_id_fkey
 cibc_card_transactions           | card_id                 | cibc_business_cards          | card_id           | cibc_card_transactions_card_id_fkey
 clients                          | fraud_case_id           | fraud_cases                  | case_id           | clients_fraud_case_id_fkey
 cra_vehicle_events               | vehicle_id              | vehicles                     | vehicle_id        | cra_vehicle_events_vehicle_id_fkey
 customer_comms_log               | charter_id              | charters                     | charter_id        | customer_comms_log_charter_id_fkey
 customer_feedback                | charter_id              | charters                     | charter_id        | customer_feedback_charter_id_fkey
 customer_name_mapping            | alms_client_id          | clients                      | client_id         | customer_name_mapping_alms_client_id_fkey
 cvip_compliance_alerts           | vehicle_id              | vehicles                     | vehicle_id        | cvip_compliance_alerts_vehicle_id_fkey
 cvip_defects                     | inspection_id           | cvip_inspections             | inspection_id     | cvip_defects_inspection_id_fkey
 cvip_inspections                 | vehicle_id              | vehicles                     | vehicle_id        | cvip_inspections_vehicle_id_fkey
 deferred_wage_accounts           | created_by              | employees                    | employee_id       | deferred_wage_accounts_created_by_fkey
 deferred_wage_accounts           | employee_id             | employees                    | employee_id       | deferred_wage_accounts_employee_id_fkey
 deferred_wage_transactions       | account_id              | deferred_wage_accounts       | account_id        | deferred_wage_transactions_account_id_fkey
 deferred_wage_transactions       | approved_by             | employees                    | employee_id       | deferred_wage_transactions_approved_by_fkey
 deferred_wage_transactions       | charter_id              | charters                     | charter_id        | deferred_wage_transactions_charter_id_fkey
 deferred_wage_transactions       | employee_id             | employees                    | employee_id       | deferred_wage_transactions_employee_id_fkey
 deferred_wage_transactions       | processed_by            | employees                    | employee_id       | deferred_wage_transactions_processed_by_fkey
 deposit_slip_items               | banking_transaction_id  | banking_transactions         | transaction_id    | deposit_slip_items_banking_transaction_id_fkey
 direct_tips_history              | charter_id              | charters                     | charter_id        | direct_tips_history_charter_id_fkey
 driver_app_actions               | charter_id              | charters                     | charter_id        | driver_app_actions_charter_id_fkey
 driver_app_actions               | driver_id               | employees                    | employee_id       | driver_app_actions_driver_id_fkey
 driver_app_sessions              | driver_id               | employees                    | employee_id       | driver_app_sessions_driver_id_fkey
 driver_comms_log                 | employee_id             | employees                    | employee_id       | driver_comms_log_employee_id_fkey
 driver_disciplinary_actions      | driver_id               | employees                    | employee_id       | driver_disciplinary_actions_driver_id_fkey
 driver_documents                 | employee_id             | employees                    | employee_id       | driver_documents_employee_id_fkey
 driver_documents                 | uploaded_by             | employees                    | employee_id       | driver_documents_uploaded_by_fkey
 driver_employee_mapping          | employee_id             | employees                    | employee_id       | driver_employee_mapping_employee_id_fkey
 driver_floats                    | cash_box_transaction_id | cash_box_transactions        | transaction_id    | driver_floats_cash_box_transaction_id_fkey
 driver_floats                    | employee_id             | employees                    | employee_id       | driver_floats_employee_id_fkey
 driver_location_history          | charter_id              | charters                     | charter_id        | driver_location_history_charter_id_fkey
 driver_location_history          | driver_id               | employees                    | employee_id       | driver_location_history_driver_id_fkey
 driver_monthly_pay_summary       | employee_id             | employees                    | employee_id       | driver_monthly_pay_summary_employee_id_fkey
 driver_pay_entries               | created_by              | employees                    | employee_id       | driver_pay_entries_created_by_fkey
 driver_pay_entries               | driver_id               | employees                    | employee_id       | driver_pay_entries_driver_id_fkey
 driver_payroll                   | employee_id             | employees                    | employee_id       | fk_driver_payroll_employee_id
 employee_availability            | employee_id             | employees                    | employee_id       | employee_availability_employee_id_fkey
 employee_expenses                | approved_by             | employees                    | employee_id       | employee_expenses_approved_by_fkey
 employee_expenses                | employee_id             | employees                    | employee_id       | employee_expenses_employee_id_fkey
 employee_expenses                | receipt_id              | receipts                     | receipt_id        | employee_expenses_receipt_id_fkey
 employee_expenses                | submitted_by            | employees                    | employee_id       | employee_expenses_submitted_by_fkey
 employee_expenses                | work_assignment_id      | monthly_work_assignments     | assignment_id     | employee_expenses_work_assignment_id_fkey
 employee_pay_entries             | created_by              | employees                    | employee_id       | employee_pay_entries_created_by_fkey
 employee_pay_entries             | employee_id             | employees                    | employee_id       | employee_pay_entries_employee_id_fkey
 employee_pay_master              | employee_id             | employees                    | employee_id       | employee_pay_master_employee_id_fkey
 employee_pay_master              | pay_period_id           | pay_periods                  | pay_period_id     | employee_pay_master_pay_period_id_fkey
 employee_pay_transactions        | employee_id             | employees                    | employee_id       | employee_pay_transactions_employee_id_fkey
 employee_pay_transactions        | pay_period_id           | pay_periods                  | pay_period_id     | employee_pay_transactions_pay_period_id_fkey
 employee_pay_transactions        | receipt_id              | receipts                     | receipt_id        | employee_pay_transactions_receipt_id_fkey
 employee_roe_records             | employee_id             | employees                    | employee_id       | employee_roe_records_employee_id_fkey
 employee_schedules               | approved_by             | employees                    | employee_id       | employee_schedules_approved_by_fkey
 employee_schedules               | created_by              | employees                    | employee_id       | employee_schedules_created_by_fkey
 employee_schedules               | employee_id             | employees                    | employee_id       | employee_schedules_employee_id_fkey
 employee_t4_records              | employee_id             | employees                    | employee_id       | employee_t4_records_employee_id_fkey
 employee_t4_summary              | employee_id             | employees                    | employee_id       | employee_t4_summary_employee_id_fkey
 employee_time_off_requests       | employee_id             | employees                    | employee_id       | employee_time_off_requests_employee_id_fkey
 employee_time_off_requests       | reviewed_by             | employees                    | employee_id       | employee_time_off_requests_reviewed_by_fkey
 employee_work_classifications    | employee_id             | employees                    | employee_id       | employee_work_classifications_employee_id_fkey
 etransfer_banking_reconciliation | etransfer_id            | etransfers_processed         | id                | etransfer_banking_reconciliation_etransfer_id_fkey
 etransfer_banking_reconciliation | transaction_id          | banking_transactions         | transaction_id    | etransfer_banking_reconciliation_transaction_id_fkey
 etransfer_transactions           | banking_transaction_id  | banking_transactions         | transaction_id    | etransfer_transactions_banking_transaction_id_fkey
 etransfer_transactions           | email_event_id          | email_financial_events       | id                | etransfer_transactions_email_event_id_fkey
 excluded_charters                | charter_id              | charters                     | charter_id        | excluded_charters_charter_id_fkey
 expense_claims_pool              | receipt_id              | receipts                     | receipt_id        | director_pool_receipt_id_fkey
 financial_adjustments            | client_id               | clients                      | client_id         | financial_adjustments_client_id_fkey
 financial_adjustments            | fraud_case_id           | fraud_cases                  | case_id           | financial_adjustments_fraud_case_id_fkey
 financial_statement_sections     | parent_section_id       | financial_statement_sections | section_id        | financial_statement_sections_parent_section_id_fkey
 financial_statement_sections     | statement_type_id       | financial_statement_types    | statement_type_id | financial_statement_sections_statement_type_id_fkey
 float_activity_log               | float_id                | chauffeur_float_tracking     | id                | float_activity_log_float_id_fkey
 fraud_cases                      | source_client_id        | clients                      | client_id         | fraud_cases_source_client_id_fkey
 fraud_cases                      | target_client_id        | clients                      | client_id         | fraud_cases_target_client_id_fkey
 fuel_expenses                    | expense_id              | personal_expenses            | id                | fuel_expenses_expense_id_fkey
 general_ledger_headers           | fraud_case_id           | fraud_cases                  | case_id           | general_ledger_headers_fraud_case_id_fkey
 general_ledger_lines             | fraud_case_id           | fraud_cases                  | case_id           | general_ledger_lines_fraud_case_id_fkey
 general_ledger_lines             | header_id               | general_ledger_headers       | header_id         | general_ledger_lines_header_id_fkey
 hos_14day_summary                | employee_id             | employees                    | employee_id       | hos_14day_summary_employee_id_fkey
 hos_log                          | charter_id              | charters                     | charter_id        | hos_log_charter_id_fkey
 hos_log                          | employee_id             | employees                    | employee_id       | hos_log_employee_id_fkey
 incident_costs                   | incident_id             | incidents                    | incident_id       | incident_costs_incident_id_fkey
 income_ledger                    | payment_id              | payments                     | payment_id        | income_ledger_payment_id_fkey
 invoice_line_items               | invoice_id              | invoices                     | invoice_id        | invoice_line_items_invoice_id_fkey
 invoice_tracking                 | document_id             | financial_documents          | id                | invoice_tracking_document_id_fkey
 maintenance_alerts               | vehicle_id              | vehicles                     | vehicle_id        | maintenance_alerts_vehicle_id_fkey
 maintenance_records              | activity_type_id        | maintenance_activity_types   | activity_type_id  | maintenance_records_activity_type_id_fkey
 maintenance_records              | receipt_id              | receipts                     | receipt_id        | maintenance_records_receipt_id_fkey
 maintenance_records              | vehicle_id              | vehicles                     | vehicle_id        | maintenance_records_vehicle_id_fkey
 maintenance_schedules_auto       | vehicle_id              | vehicles                     | vehicle_id        | maintenance_schedules_auto_vehicle_id_fkey
 major_events                     | created_by              | employees                    | employee_id       | major_events_created_by_fkey
 monthly_work_assignments         | assigned_by             | employees                    | employee_id       | monthly_work_assignments_assigned_by_fkey
 monthly_work_assignments         | employee_id             | employees                    | employee_id       | monthly_work_assignments_employee_id_fkey
