,Date,Transaction Type,#,Name,Memo/Description,Account,Debit,Credit,Balance
Total for 6476 Registrations,,,,,,,"$17,886.04  ",,
6480 Membership,,,,,,,,,
,26/08/2025,Journal Entry,,,,6480 Membership,708.64  ,,708.64  
Total for 6480 Membership,,,,,,,$708.64  ,,
6500 Meals and Entertainment,,,,,,,,,
,26/08/2025,Journal Entry,,,,6500 Meals and Entertainment,"32,736.04  ",,"32,736.04  "
Total for 6500 Meals and Entertainment,,,,,,,"$32,736.04  ",,
6550 Office Supplies,,,,,,,,,
,26/08/2025,Journal Entry,,,,6550 Office Supplies,"8,704.10  ",,"8,704.10  "
,26/08/2025,Journal Entry,,,,6550 Office Supplies,"34,897.86  ",,"43,601.96  "
Total for 6550 Office Supplies,,,,,,,"$43,601.96  ",,
6600 Wages and Salaries,,,,,,,,,
,26/08/2025,Journal Entry,,,,6600 Wages and Salaries,"798,213.26  ",,"798,213.26  "
Total for 6600 Wages and Salaries,,,,,,,"$798,213.26  ",,
6605 Payroll Expenses,,,,,,,,,
,26/08/2025,Journal Entry,,,,6605 Payroll Expenses,"149,081.37  ",,"149,081.37  "
Total for 6605 Payroll Expenses,,,,,,,"$149,081.37  ",,
6625 Professional Fees,,,,,,,,,
,26/08/2025,Journal Entry,,,,6625 Professional Fees,"21,379.74  ",,"21,379.74  "
,26/08/2025,Journal Entry,,,,6625 Professional Fees,"3,902.03  ",,"25,281.77  "
Total for 6625 Professional Fees,,,,,,,"$25,281.77  ",,
6650 Rent,,,,,,,,,
,26/08/2025,Journal Entry,,,,6650 Rent,"94,512.74  ",,"94,512.74  "
,26/08/2025,Journal Entry,,,,6650 Rent,"23,018.19  ",,"117,530.93  "
Total for 6650 Rent,,,,,,,"$117,530.93  ",,
6700 Subcontractor,,,,,,,,,
,26/08/2025,Journal Entry,,,,6700 Subcontractor,"2,129.16  ",,"2,129.16  "
,26/08/2025,Journal Entry,,,,6700 Subcontractor,"11,643.48  ",,"13,772.64  "
Total for 6700 Subcontractor,,,,,,,"$13,772.64  ",,
6730 Staff Incentives,,,,,,,,,
,26/08/2025,Journal Entry,,,,6730 Staff Incentives,325.00  ,,325.00  
Total for 6730 Staff Incentives,,,,,,,$325.00  ,,
6745 Reimbursed Expenses,,,,,,,,,
,26/08/2025,Journal Entry,,,,6745 Reimbursed Expenses,,"3,276.30  ","-3,276.30  "
Total for 6745 Reimbursed Expenses,,,,,,,,"$3,276.30  ",
6750 Supplies,,,,,,,,,
,26/08/2025,Journal Entry,,,,6750 Supplies,"1,861.49  ",,"1,861.49  "
,26/08/2025,Journal Entry,,,,6750 Supplies,"31,622.82  ",,"33,484.31  "
Total for 6750 Supplies,,,,,,,"$33,484.31  ",,
6751 Hospitality Supplies,,,,,,,,,
,26/08/2025,Journal Entry,,,,6751 Hospitality Supplies,"230,222.31  ",,"230,222.31  "
,26/08/2025,Journal Entry,,,,6751 Hospitality Supplies,950.00  ,,"231,172.31  "
Total for 6751 Hospitality Supplies,,,,,,,"$231,172.31  ",,
6755 Uniforms,,,,,,,,,
,26/08/2025,Journal Entry,,,,6755 Uniforms,839.93  ,,839.93  
Total for 6755 Uniforms,,,,,,,$839.93  ,,
6800 Telephone,,,,,,,,,
,26/08/2025,Journal Entry,,,,6800 Telephone,"47,515.06  ",,"47,515.06  "
,26/08/2025,Journal Entry,,,,6800 Telephone,"27,318.44  ",,"74,833.50  "
Total for 6800 Telephone,,,,,,,"$74,833.50  ",,
6810 Internet,,,,,,,,,
,26/08/2025,Journal Entry,,,,6810 Internet,"1,326.92  ",,"1,326.92  "
,26/08/2025,Journal Entry,,,,6810 Internet,541.92  ,,"1,868.84  "
Total for 6810 Internet,,,,,,,"$1,868.84  ",,
6825 Travel,,,,,,,,,
,26/08/2025,Journal Entry,,,,6825 Travel,"9,921.17  ",,"9,921.17  "
Total for 6825 Travel,,,,,,,"$9,921.17  ",,
6826 Parking & Misc. Ticket Expenses,,,,,,,,,
