TABLE USAGE AUDIT
==========================================================================================
timestamp=2026-04-30T18:33:32.971965
public_table_count=295
archived_table_count=31
archive_candidate_count=240
archive_candidate_total_mb=60.542

Archive candidates (public):
  interest_allocations | class=ARCHIVE_CANDIDATE_UNUSED | rows~3 | size_mb=0.062 | inbound_fk=0 | code_hits=0
  financial_adjustments | class=ARCHIVE_CANDIDATE_UNUSED | rows~2 | size_mb=0.062 | inbound_fk=0 | code_hits=0
  wage_allocation_pool | class=ARCHIVE_CANDIDATE_UNUSED | rows~2 | size_mb=0.062 | inbound_fk=0 | code_hits=0
  transaction_log | class=ARCHIVE_CANDIDATE_UNUSED | rows~1 | size_mb=0.062 | inbound_fk=0 | code_hits=0
  invoice_line_items | class=ARCHIVE_CANDIDATE_EMPTY | rows~0 | size_mb=0.062 | inbound_fk=0 | code_hits=0
  driver_employee_mapping | class=ARCHIVE_CANDIDATE_UNUSED | rows~122 | size_mb=0.055 | inbound_fk=0 | code_hits=0
  vendor_synonyms | class=ARCHIVE_CANDIDATE_UNUSED | rows~72 | size_mb=0.055 | inbound_fk=0 | code_hits=0
  employee_work_classifications | class=ARCHIVE_CANDIDATE_UNUSED | rows~21 | size_mb=0.055 | inbound_fk=0 | code_hits=0
  charges | class=ARCHIVE_CANDIDATE_UNUSED | rows~6 | size_mb=0.055 | inbound_fk=0 | code_hits=0
  receipt_line_items | class=ARCHIVE_CANDIDATE_EMPTY | rows~0 | size_mb=0.055 | inbound_fk=0 | code_hits=0
  square_etransfer_reconciliation | class=ARCHIVE_CANDIDATE_EMPTY | rows~0 | size_mb=0.055 | inbound_fk=0 | code_hits=0
  balance_sheet | class=ARCHIVE_CANDIDATE_UNUSED | rows~196 | size_mb=0.047 | inbound_fk=0 | code_hits=0
  category_mappings | class=ARCHIVE_CANDIDATE_UNUSED | rows~41 | size_mb=0.047 | inbound_fk=0 | code_hits=0
  permissions | class=ARCHIVE_CANDIDATE_UNUSED | rows~36 | size_mb=0.047 | inbound_fk=0 | code_hits=0
  category_to_account_map | class=ARCHIVE_CANDIDATE_UNUSED | rows~21 | size_mb=0.047 | inbound_fk=0 | code_hits=0
  maintenance_service_types | class=ARCHIVE_CANDIDATE_UNUSED | rows~15 | size_mb=0.047 | inbound_fk=0 | code_hits=0
  receipt_categories | class=ARCHIVE_CANDIDATE_UNUSED | rows~13 | size_mb=0.047 | inbound_fk=0 | code_hits=0
  transaction_subcategories | class=ARCHIVE_CANDIDATE_UNUSED | rows~13 | size_mb=0.047 | inbound_fk=0 | code_hits=0
  vehicle_loan_reconciliation_allocations | class=ARCHIVE_CANDIDATE_UNUSED | rows~12 | size_mb=0.047 | inbound_fk=0 | code_hits=0
